|ICO|Nazov|SK_NACE
355|00615366|3 Q SERVICE, spol. s r. o.|46520.0
356|17310211|VUIS - Vodovody a kanalizácie spol. s r. o. |71200.0
357|35955333|Alfa office, s.r.o.|47410.0
358|31359159|A.V.I.S. - International Software Distribution & Servis, s.r.o.|62010.0
359|46284974|LED SOLAR, a.s.|27400.0
360|48146676|Siemens Healthcare s.r.o.|62010.0
361|35680458|TRACO SYSTEMS a.s.|62010.0
362|35833637|Direct Impact, s.r.o.|72200.0
363|31390633|EMEL BRATISLAVA, s.r.o.|62010.0
364|36268585|WTC - MACRO, s.r.o.|71200.0
365|31656544|IKARO s.r.o|47410.0
366|44306873|247.sk, s.r.o.|62090.0
367|35695439|BOWA s.r.o.|46510.0
368|36455580|NITECH, s.r.o.|62010.0
369|36743763|PROFINESA s.r.o.|46520.0
370|35962127|ORIS PLUS SK s.r.o.|46520.0
371|31442552|VF, s.r.o.|33200.0
372|30959543|Mária Vinczeová|47410.0
373|36426041|PC SEMA, s.r.o.|47410.0
374|36834815|ECO-ENERGY LIGHTING, s.r.o.|62010.0
375|35788402|CRYSTAL CONSULTING, s.r.o.|62090.0
376|47367873|MindIT, s.r.o.|62090.0
377|47907266|Altrinia s. r. o.|62010.0
378|31401813|BSP Sizar, s. r. o.|63110.0
379|37294873|Ing. Rastislav Janáč|62020.0
380|31598536|ZTS Elektronika SKS s.r.o.|71200.0
381|35760273|CGI Slovakia s. r. o. |62090.0
382|35792141|ALISON Slovakia s.r.o.|62090.0
383|36956155|Peter Jánošík - ELCENTRA|33140.0
384|36475025|KP plus, s.r.o.|46510.0
385|47082453|DATATHERM EU, spol. s r.o.|33200.0
386|36233366|HÍLEK STK Senica, s.r.o.|71200.0
387|47132337|PC - TECH, s.r.o.|62020.0
388|35757744|DYTRON SLOVAKIA s.r.o.|47410.0
389|46560050|JANUS SK, spol. s. r. o.|62090.0
390|36175684|HARD PLUS, s.r.o.|47410.0
391|31397417|CENTAUR, a. s.|62010.0
392|31685064|DECENT SC. s r.o.|46510.0
393|35300256|Ing. Ivan Bednár|47410.0
394|44099207|ETHOS Technology, s.r.o.|47410.0
395|44915853|ABEEX s.r.o.|62020.0
396|46683062|MATTEO s. r. o.|62090.0
397|36825182|AUTO CT, s.r.o.|71200.0
398|45451672|MJCH, s. r. o.|62010.0
399|36823112|A & M Trading s.r.o.|62020.0
400|36260371|METRUM servis, s.r.o.|62010.0
401|35810408|CNC, a.s.|62090.0
402|36764451|PROFiber Networking s.r.o.|47410.0
403|36738964|Qintec a.s.|47410.0
404|35952962|MONOGRAM Technologies, spol. s r.o.|62010.0
405|46241701|Audio Distribution, s. r. o.|46520.0
406|35899727|HACH LANGE s.r.o.|33130.0
407|35886960|PromiNet, s.r.o.|62010.0
408|36519421|AGROSERVIS - TECHNOLÓGIE, spol. s r.o.|33200.0
409|46050973|MONELL s.r.o.|71200.0
410|48317136|DATAROOM s.r.o.|63110.0
411|11891581|Peter Šesták - KANPEX|33140.0
412|47414952|Tamás Lovász - TL Holding|62090.0
413|36010057|A2B, s.r.o.|27900.0
414|47104694|Aliga, s.r.o.|62090.0
415|36212105|Novitech Tax, s.r.o.|62010.0
416|36215431|pFlow, s.r.o.|62010.0
417|35975946|Disig, a.s.|62090.0
418|45515085|Systeming, s.r.o.|71200.0
419|36313548|Schier Technik Slovakia, s.r.o.|62010.0
420|31619479|ELKO COMPUTERS PRIEVIDZA, spol. s r.o. |47410.0
421|00685399|BSP SOFTWAREDISTRIBUTION a.s.|46510.0
422|36593966|bart.sk s.r.o.|62010.0
423|46934600|essential data, s. r. o.|62090.0
424|37954156|Výskumný ústav spojov, n.o.|72190.0
425|45351911|JTB, s.r.o.|71200.0
426|14373700|Ing. Pavel Novotný - ENPROJEKT|71200.0
427|36663280|Wittee, a. s.|62090.0
428|35798297|QBSW, a.s.|62010.0
429|35936070|LL-C (Certification) Slovakia s.r.o.|71200.0
430|35903261|Foundation, s.r.o.|62010.0
431|31586163|HOUR, spol. s r.o.|62020.0
432|35910780|NUPSESO Data Service, s.r.o.|63110.0
433|47076178|FaxCopy Pro s. r. o.|62010.0
434|36434639|Open IT, s. r. o. |62010.0
435|36445517|INCO - AG, s.r.o.|62010.0
436|31368484|PPA ENERGO s.r.o.|33200.0
437|47151528|eBIZ Consulting s. r. o.|62090.0
438|47025328|TatraMed Software s.r.o.|62010.0
439|35758643|eBIZ Corp s. r. o.|62020.0
440|41506065|Ing. Marta Bajusová - CALIBRO|26510.0
441|36706795|Asphere, a.s.|62010.0
442|17055164|PPA CONTROLL, a.s.|33200.0
443|36028801|ENERGIA M+M, s.r.o.|71200.0
444|36585203|TCX s.r.o.|62090.0
445|36415685|MERKUR SLOVAKIA, s.r.o.|47410.0
446|36846414|ELPO Slovakia, s.r.o.|71200.0
447|36484628|ZEDON s.r.o.|62090.0
448|46543511|Ing. Magdaléna Jeníková MIŠ Služby|63110.0
449|34350918|Jozef Seleš  TECHNICOM|33140.0
450|36170151|ELTODO OSVETLENIE, s.r.o.|33140.0
451|45372365|Fibamo s. r. o. |63110.0
452|31335217|HAI, spol. s r.o.|47410.0
453|45674175|AeroMobil, s.r.o.|72190.0
454|31354521|ALTRON SK, a.s.|33140.0
455|31402836|ALFA Security Technologies, a. s.|62010.0
456|35728531|InterWay, a. s.|62010.0
457|35791489|MicroStep-MIS, spol. s r.o.|26510.0
458|31443516|KONTROLSPOL, s r.o.|71200.0
459|47551321|Enteris, s. r. o.|63110.0
460|34132333|OMS, spol. s r.o.|27400.0
461|44629745|TeKATO s.r.o.|62020.0
462|36428442|Inomanet, s.r.o.|47420.0
463|31571875|ELEKTROSYSTEM, a.s.|62020.0
464|36396567|IMAFEX, spol. s r.o.|62010.0
465|11838132|Ing. Peter Švec - ATIS|47410.0
466|31652433|LCS ELECTRONICS, spol. s r.o.|46520.0
467|36381403|Automatizácia dopravných a telekomunikačných systémov, s.r.o. v skratke: ADTS, s.r.o.|62090.0
468|31648410|elfa, s.r.o.|46510.0
469|47894458|INNOVIS, s.r.o.|62010.0
470|31369987|NEPA Slovakia, spol.s r.o.|63110.0
471|31699626|VSL Software, a.s.|62010.0
472|35717998|ELEKTRONIKA a.s.|33200.0
473|36564176|COMPUTER ABC, s.r.o.|47410.0
474|36411060|ENERGETIKA Ružomberok, spol. s r.o.|27900.0
475|36058572|JEEL, s.r.o.|71200.0
476|47447206|Tiende s. r. o.|63110.0
477|46541993|Licence Professional, s. r. o.|62090.0
478|40100545|Peter Lempochner|62010.0
479|45580561|VT Group, a. s.|62090.0
480|31576303|CANBERRA - PACKARD, s.r.o.|33200.0
481|31425836|Slovenská informačná a marketingová spoločnosť, a. s. Skrátený názov: SIMS, a. s|63910.0
482|31349935|S&T Slovakia s. r. o.|62020.0
483|36541443|TOMLUX, s.r.o.|46520.0
484|35698586|DOLIS s.r.o.|63110.0
485|35819065|NetPoint, s.r.o.|63110.0
486|62418394|Carl Stahl & spol s.r.o.|27900.0
487|36795445|Sprecher Automation, spol. s r.o.|62020.0
488|36015016|MIROS BB, s.r.o.|33130.0
489|34116311|DIOS, s.r.o.|33140.0
490|36410250|ORIWIN, s.r.o.|62010.0
491|31410952|MICROCOMP - Computersystém s r. o.|62090.0
492|36224278|YMS, a.s.|62090.0
493|31610919|Schrack Technik s.r.o.|46520.0
494|00057380|Technický skúšobný ústav Piešťany, š.p.|71200.0
495|47373288|IS - Industry Solutions, a.s. |33200.0
496|36839523|2-morrow, s.r.o.|63110.0
497|36525791|NUPSESO, a.s.|63110.0
498|36239739|CHIROSAN, s.r.o.|33200.0
499|35918764|Level IT s.r.o.|62020.0
500|45004790|NUVIA s.r.o.|26510.0
501|36580341|SMG, s.r.o.|46510.0
502|31681301|GemerAudit, spol. s r.o.|63110.0
503|35852216|TÜV SÜD Slovakia s.r.o.|71200.0
504|36378186|HAKO, a. s.|62010.0
505|35738219|AXASOFT, a. s.|62020.0
506|36250481|MAXNETWORK, s.r.o.|62020.0
507|35743468|Gratex International, a.s.|62010.0
508|31329209|EUROFINS BEL/NOVAMANN s.r.o.|71200.0
509|35681811|Albertina icome Bratislava s.r.o.|46510.0
510|00690821|SoVIS, spol. s r.o.|26200.0
511|36741388|ŽP Informatika s.r.o. |62010.0
512|36642991|AA TERRA ANTIQUA s.r.o.|72200.0
513|11864427|Gabriel Žatko eminent -EmnT|71200.0
514|50144961|BERNY s. r. o.|62020.0
515|46251090|Hydrotechnika STU, s. r. o.|72190.0
516|36035971|AMICOMP BB s.r.o.|46510.0
517|34556010|Ing. Peter Koniar - DATABASE CONSULTING|62010.0
518|35795174|Lomtec.com a.s.|62090.0
519|31560385|ROSS s.r.o.|27400.0
520|36407836|SKEAGIS, s.r.o.|62010.0
521|46870628|MediScience s.r.o.|72190.0
522|43915051|PREEM a.s.|63110.0
523|45299960|Štefan Lukáč|62090.0
524|44645708|MATIS ELEKTRO, s. r. o.|71200.0
525|46928073|Synergon a.s.|62090.0
526|31718868|NOVITECH a.s.|62020.0
527|36617661|Magic Print s.r.o.|46510.0
528|31326650|TEMPEST a.s.|62090.0
529|36817864|CellQoS, a.s.|62090.0
530|00650552|DATATHERM, spol. s r.o. |33200.0
531|35745274|SITA Slovenská tlačová agentúra a.s.|63910.0
532|26227631|PRIMA BILAVČÍK s.r.o.|71200.0
533|31416420|WERT s.r.o.|71200.0
534|31567703|E U R O S spol. s r.o.|26510.0
